iter	RMSE
0	2125.801095
1	2069.862131
2	2015.471467
3	1958.956485
4	1913.504691
5	1866.973575
6	1832.616491
7	1789.983908
8	1752.844944
9	1716.841911
10	1672.190363
11	1636.543716
12	1604.042971
13	1573.656256
14	1535.748088
15	1502.681368
16	1479.73844
17	1454.560822
18	1430.470634
19	1410.57957
20	1386.984355
21	1368.331497
22	1341.472233
23	1313.056986
24	1288.569015
25	1263.743679
26	1239.811874
27	1215.432527
28	1199.275473
29	1181.623342
30	1169.646258
31	1148.050815
32	1128.277101
33	1109.550544
34	1093.898319
35	1081.173726
36	1067.016776
37	1051.35212
38	1043.12944
39	1029.610356
40	1015.949442
41	1003.36728
42	994.0484845
43	982.0483312
44	972.3821158
45	959.699021
46	949.1562621
47	944.7338832
48	934.8883686
49	924.0492839
50	915.413954
51	907.4878413
52	900.655112
53	894.0262061
54	886.2627059
55	880.7049297
56	872.7564612
57	863.6759303
58	856.7340963
59	851.7757327
60	847.4533899
61	840.8570219
62	834.154617
63	829.3124772
64	824.1023781
65	817.5899253
66	813.0521704
67	808.2696334
68	804.4245355
69	800.1446757
70	795.1492861
71	789.6302873
72	786.4543182
73	780.9114282
74	776.0806699
75	772.1690937
76	769.2211691
77	767.3877527
78	763.1497926
79	759.719708
80	756.7992904
81	752.6769067
82	748.574089
83	745.4367737
84	743.3005072
85	739.4511475
86	735.8758082
87	733.4738201
88	729.2688977
89	726.0061758
90	721.8878694
91	720.3916375
92	718.8642178
93	716.5468486
94	715.1384597
95	712.5288621
96	708.6576868
97	706.2497538
98	704.5162728
99	701.9836879
100	699.8621912
101	697.9221372
102	694.5019876
103	692.6721141
104	690.6875714
105	688.6457163
106	687.0094119
107	685.587632
108	685.3968971
109	684.5639351
110	683.8987628
111	681.8827512
112	681.0966276
113	679.3986451
114	677.1994522
115	675.2418427
116	674.7613654
117	673.9197886
118	672.9512469
119	670.6328842
120	669.5864568
121	668.5020379
122	666.6315403
123	664.8007651
124	662.9203066
125	660.4926076
126	658.3008437
127	657.1654674
128	656.6870323
129	654.035612
130	652.5137324
131	651.4591229
132	649.7577047
133	647.7675692
134	645.6259247
135	644.0513256
136	643.9339482
137	642.8016406
138	640.4804524
139	639.0968937
140	637.5250554
141	635.8569472
142	635.5123948
143	634.6093248
144	633.7751191
145	632.0734869
146	630.6804563
147	629.1912053
148	627.667541
149	626.1507936
150	625.4501103
151	624.0628567
152	623.153853
153	621.9237244
154	621.8813486
155	620.2032305
156	619.2958617
157	617.8912526
158	617.0243162
159	616.7195558
160	614.6826362
161	613.7177486
162	612.8205536
163	611.9944333
164	611.1487451
165	610.5133246
166	609.1970142
167	608.0194692
168	607.5515974
169	606.8721071
170	606.2002202
171	605.6477686
172	604.6349284
173	604.1812659
174	603.1301578
175	602.3389168
176	601.2555833
177	601.106561
178	600.5847557
179	600.0435893
180	598.9965483
181	598.4884747
182	598.124095
183	597.3687896
184	596.5972657
185	596.2704418
186	595.6130878
187	594.9661923
188	594.1285855
189	593.4564611
190	592.7615214
191	592.1412668
192	591.5676576
193	590.6178271
194	590.2540165
195	589.7340877
196	589.0963041
197	588.5535676
198	587.7184912
199	587.1432379
200	586.8279482
201	585.9608585
202	585.2978089
203	584.0121523
204	583.2565436
205	582.6105724
206	582.6013845
207	582.0496803
208	581.6022411
209	581.1730052
210	580.6980875
211	580.0316064
212	579.5686685
213	578.9850949
214	578.3627381
215	577.9279396
216	577.1851307
217	576.7359287
218	575.1257825
219	574.4365963
220	573.7805913
221	573.7729311
222	573.2095184
223	572.8081918
224	572.5024144
225	572.1188276
226	571.7372135
227	571.1972778
228	570.682287
229	570.4759196
230	569.6697653
231	569.4313847
232	569.1459283
233	568.6445872
234	568.2185711
235	567.9265004
236	567.6251343
237	567.2982331
238	566.9579445
239	566.6744516
240	566.1534878
241	565.8357742
242	565.014972
243	564.8274706
244	564.3759595
245	564.065323
246	563.8982197
247	563.5813847
248	563.2688231
249	562.5726259
250	561.8705637
251	561.6139021
252	561.3505091
253	561.0413423
254	560.8455639
255	560.4366576
256	560.0974104
257	559.7500861
258	559.5280785
259	559.2580395
260	558.9371515
261	558.8053994
262	558.5837849
263	558.3457206
264	557.9171618
265	557.6416875
266	557.2323527
267	557.0731329
268	556.9316714
269	556.4730456
270	555.8235559
271	555.5830952
272	555.1848196
273	554.9613718
274	554.4061527
275	553.9971662
276	553.6258621
277	553.4267871
278	553.230107
279	552.9892585
280	552.2657243
281	551.6202659
282	551.1794655
283	550.980754
284	550.7635704
285	550.570947
286	550.3439341
287	549.9961069
288	549.5391421
289	549.3304789
290	548.5435023
291	548.2042
292	547.8376218
293	547.5593641
294	547.2257169
295	547.0555041
296	546.8941333
297	546.3287843
298	545.8487713
299	545.5798512
300	544.9331127
301	544.8470289
302	544.5347222
303	544.0870835
304	543.7527846
305	543.4979529
306	543.2866345
307	543.0807424
308	542.6476218
309	542.5555439
310	542.1438897
311	541.4734082
312	541.0942209
313	540.4271668
314	540.0832606
315	539.8225571
316	539.5706673
317	539.4037984
318	539.2066595
319	538.8836884
320	538.6276281
321	538.2743702
322	537.9618461
323	537.8087053
324	537.0798215
325	536.3698372
326	536.0596341
327	535.9137748
328	535.6533111
329	535.4161442
330	535.1729466
331	535.0168406
332	534.4089788
333	534.1065595
334	533.9135913
335	533.8005043
336	533.5086617
337	533.1645679
338	532.8510223
339	532.5348012
340	532.2951168
341	532.1550069
342	531.9171985
343	531.3691277
344	530.7738147
345	530.5833166
346	529.8146233
347	529.5904421
348	529.362593
349	529.1012808
350	528.5320374
351	527.86371
352	527.5748049
353	526.4874236
354	526.1921623
355	525.8147314
356	525.1080977
357	524.9101708
358	524.2227965
359	524.1126308
360	523.9483478
361	523.6912276
362	523.641128
363	523.3386612
364	522.6683065
365	522.4112359
366	522.2632693
367	522.0410957
368	521.901617
369	521.8317913
370	521.5712076
371	521.3401254
372	520.9489257
373	520.7601025
374	520.580509
375	520.3964465
376	519.7430302
377	519.5594302
378	519.4226259
379	519.2575832
380	519.0147766
381	518.5004248
382	518.3252592
383	518.1482746
384	517.9702338
385	517.6603321
386	516.9554643
387	516.5743994
388	515.9885
389	515.640823
390	515.4748952
391	515.1311647
392	515.0446466
393	514.4686335
394	514.3249381
395	513.9923196
396	513.6875233
397	513.5633857
398	513.3053084
399	512.767619
400	512.6379636
401	512.414641
402	512.3774862
403	512.1243764
404	511.9937142
405	511.7313979
406	511.5980415
407	511.3014121
408	510.9464935
409	510.6879856
410	510.3744539
411	510.1711299
412	509.8760432
413	509.5585893
414	508.9690458
415	508.7439697
416	508.4621569
417	508.2088417
418	508.0581631
419	507.593149
420	507.3632458
421	507.2089331
422	507.0323206
423	506.775581
424	506.6687716
425	506.5371343
426	506.0852908
427	505.9516099
428	505.8827404
429	505.7270047
430	505.5102615
431	505.2940605
432	505.148893
433	504.9080934
434	504.6868831
435	504.5569216
436	504.0573805
437	503.9112549
438	503.7401654
439	503.5250972
440	503.3466888
441	503.1372349
442	502.5997393
443	502.3192336
444	501.7851929
445	501.4889282
446	501.3500716
447	501.0822308
448	500.7890176
449	500.5499822
450	500.3200121
451	500.1144619
452	499.9730686
453	499.856199
454	499.3606472
455	499.0428632
456	498.5683436
457	498.4288379
458	498.1845765
459	497.9619137
460	497.7618342
461	497.2810068
462	496.7489408
463	496.5043634
464	496.4265635
465	496.1898079
466	496.0462087
467	495.7556534
468	495.2490053
469	495.05399
470	494.9174238
471	494.6412521
472	494.5270917
473	494.3192111
474	494.1307246
475	493.8279211
476	493.73492
477	493.5407221
478	493.1368173
479	492.9353491
480	492.7846989
481	492.5127319
482	492.3109117
483	492.0249834
484	491.7894547
485	491.235744
486	491.0554199
487	490.6258476
488	490.1584657
489	489.9655929
490	489.4789994
491	489.2816214
492	489.1996599
493	488.9834978
494	488.8855193
495	488.7028722
496	488.235229
497	488.0995257
498	487.9756177
499	487.6689805
500	487.4731232
501	487.1166532
502	486.7594789
503	486.5842149
504	486.304886
505	486.1614372
506	485.9486938
507	485.8227416
508	485.3187179
509	485.1814644
510	485.0031767
511	484.7157995
512	484.4037717
513	484.0965106
514	483.9317779
515	483.6529595
516	483.4604734
517	483.3939772
518	483.2834056
519	482.9234223
520	482.7395902
521	482.4927637
522	482.3334369
523	482.228459
524	481.9683105
525	481.6976609
526	481.5132899
527	481.3813801
528	481.0698109
529	480.874588
530	480.6190778
531	480.4348465
532	480.3364577
533	480.0736887
534	479.9392102
535	479.6956977
536	479.3571441
537	479.1801883
538	478.85294
539	478.7516706
540	478.4580034
541	478.3211963
542	478.1053096
543	477.8569809
544	477.6796348
545	477.4263302
546	477.2681154
547	476.917945
548	476.8372008
549	476.5930537
550	476.4723499
551	476.2790295
552	476.0270791
553	475.7555927
554	475.58178
555	475.4074075
556	475.1647965
557	474.9341778
558	474.6435036
559	474.4082651
560	474.0980603
561	473.8502876
562	473.7182836
563	473.4899313
564	473.33138
565	473.2238304
566	472.9451758
567	472.77832
568	472.4798205
569	472.245627
570	472.0259208
571	471.8694901
572	471.7079911
573	471.648849
574	471.5014672
575	471.3595406
576	471.116454
577	470.9017406
578	470.7486506
579	470.7200511
580	470.3343345
581	470.1265513
582	470.0092745
583	469.8817642
584	469.6031422
585	469.3231807
586	469.1727704
587	468.9018507
588	468.7408713
589	468.6656686
590	468.461893
591	468.3142536
592	468.1696704
593	468.0446074
594	467.9224944
595	467.676566
596	467.5337682
597	467.4219627
598	467.2856316
599	467.0843673
600	466.9774439
601	466.7827716
602	466.6406495
603	466.4921956
604	466.3529945
605	466.2166686
606	466.0336541
607	465.8721321
608	465.7119736
609	465.6454881
610	465.4547013
611	465.2216086
612	464.98455
613	464.8796234
614	464.7924413
615	464.6691627
616	464.568937
617	464.3977937
618	464.2794028
619	464.1064491
620	464.0253472
621	463.9713347
622	463.7126701
623	463.6535147
624	463.5627888
625	463.3069564
626	463.0888552
627	462.9401426
628	462.7721285
629	462.5248699
630	462.4006815
631	462.1563737
632	462.0346811
633	461.920473
634	461.7216888
635	461.5495049
636	461.0335252
637	460.785783
638	460.70585
639	460.5620545
640	460.4205177
641	460.2693066
642	460.1375095
643	459.9204476
644	459.8073031
645	459.662563
646	459.5444191
647	459.3686171
648	459.2528811
649	459.0690102
650	458.9500874
651	458.8978154
652	458.7890208
653	458.7390725
654	458.6424091
655	458.3233748
656	458.2112331
657	458.0802833
658	457.8418619
659	457.7292012
660	457.6198817
661	457.4900834
662	457.3331797
663	457.2299854
664	457.1181485
665	457.0097099
666	456.9264496
667	456.8213206
668	456.6784505
669	456.268005
670	456.1657028
671	455.9927618
672	455.9295334
673	455.8430223
674	455.7952773
675	455.6980882
676	455.6041087
677	455.5135888
678	455.3558195
679	455.2512513
680	454.9846186
681	454.9362358
682	454.8460764
683	454.6358432
684	454.4418533
685	454.3581447
686	454.0046295
687	453.8251553
688	453.7352209
689	453.5023674
690	453.4202628
691	453.2003007
692	453.1045744
693	452.9389532
694	452.5777652
695	452.4496836
696	452.1768774
697	452.1012128
698	452.0559806
699	451.8882342
700	451.7631627
701	451.6748158
702	451.6168283
703	451.5288714
704	451.459933
705	451.2689797
706	451.0911993
707	450.9481486
708	450.9046385
709	450.5816863
710	450.4823926
711	450.1532319
712	450.018257
713	449.8810428
714	449.7351371
715	449.509409
716	449.4942583
717	449.323907
718	449.2389142
719	449.1065033
720	448.976179
721	448.9066286
722	448.8182433
723	448.5115361
724	448.4970194
725	448.4114556
726	448.3055155
727	448.2033654
728	448.0251803
729	447.9415353
730	447.78023
731	447.6591115
732	447.249571
733	447.1616312
734	446.9646622
735	446.8853994
736	446.7030329
737	446.4864752
738	446.186905
739	445.8911561
740	445.7180406
741	445.6305056
742	445.3512227
743	445.2314416
744	445.1477355
745	444.9889469
746	444.8244741
747	444.7481468
748	444.6282176
749	444.5919292
750	444.3059031
751	444.2310619
752	444.1310766
753	444.0223399
754	443.9246907
755	443.8351468
756	443.7867389
757	443.5897068
758	443.4750136
759	443.3389104
760	443.1721116
